strategy,budget,instances,optimal,suboptimal,optimal_percent,avg_terminals,avg_roots,avg_workers,avg_dangers,avg_ratio,worst_ratio,avg_speedup
random_n_nearest_town,45,20,19,1,0.95,26.0,16.8,25.0,1.0,1.0,1.005,12037.785
random_n_nearest_town_in_territory,5,20,20,0,1.0,3.0,2.7,3.0,0.0,1.0,1.0,132.364
random_n_nearest_town_in_territory,5,20,20,0,1.0,4.0,2.7,3.0,1.0,1.0,1.0,143.877
random_n_nearest_town_in_territory,10,20,20,0,1.0,6.0,5.45,6.0,0.0,1.0,1.0,189.327
random_n_nearest_town_in_territory,10,20,20,0,1.0,7.0,5.45,6.0,1.0,1.0,1.0,182.627
random_n_nearest_town_in_territory,15,20,20,0,1.0,9.0,7.9,9.0,0.0,1.0,1.0,278.95
random_n_nearest_town_in_territory,15,20,18,2,0.9,10.0,7.9,9.0,1.0,1.002,1.035,287.791
random_n_nearest_town_in_territory,20,20,19,1,0.95,12.0,9.35,12.0,0.0,1.001,1.012,739.664
random_n_nearest_town_in_territory,20,20,19,1,0.95,13.0,9.35,12.0,1.0,1.001,1.012,906.932
random_n_nearest_town_in_territory,25,20,18,2,0.9,16.0,12.1,16.0,0.0,1.001,1.012,2054.097
random_n_nearest_town_in_territory,25,20,17,3,0.85,17.0,12.1,16.0,1.0,1.001,1.012,1673.105
random_n_nearest_town_in_territory,30,20,17,3,0.85,16.0,12.6,16.0,0.0,1.001,1.01,1578.833
random_n_nearest_town_in_territory,30,20,16,4,0.8,17.0,12.6,16.0,1.0,1.003,1.031,1336.334
random_n_nearest_town_in_territory,35,20,18,2,0.9,19.0,12.85,19.0,0.0,1.001,1.009,3109.365
random_n_nearest_town_in_territory,35,20,18,2,0.9,20.0,12.85,19.0,1.0,1.003,1.042,2789.047
random_n_nearest_town_in_territory,40,20,17,3,0.85,22.0,15.4,22.0,0.0,1.002,1.028,3002.141
random_n_nearest_town_in_territory,40,20,17,3,0.85,23.0,15.4,22.0,1.0,1.002,1.027,2389.232
random_n_nearest_town_in_territory,45,20,16,4,0.8,25.0,16.4,25.0,0.0,1.002,1.014,8336.242
random_n_nearest_town_in_territory,45,20,13,7,0.65,26.0,16.4,25.0,1.0,1.005,1.035,8489.222
random_town,5,20,15,5,0.75,3.0,2.9,3.0,0.0,1.006,1.03,599.072
random_town,5,20,14,6,0.7,4.0,2.9,3.0,1.0,1.006,1.027,1119.742
random_town,10,20,12,8,0.6,6.0,5.6,6.0,0.0,1.008,1.038,3530.041
random_town,10,20,11,9,0.55,7.0,5.6,6.0,1.0,1.01,1.037,3971.854
random_town,15,20,11,9,0.55,9.0,8.15,9.0,0.0,1.01,1.06,5225.229
random_town,15,20,12,8,0.6,10.0,8.15,9.0,1.0,1.007,1.047,6227.362
random_town,20,20,11,9,0.55,12.0,10.05,12.0,0.0,1.007,1.033,8081.786
random_town,20,20,9,11,0.45,13.0,10.05,12.0,1.0,1.011,1.041,10220.593
